mH_GeV  XS_pb    Err_Hi     Err_Lo Sca_Hi  Sca_Lo  Pdf_Hi  Pdf_Lo
650	    0.3423	 15.6      -14.0    5.9        -5.0     9.7     -9.0
660	    0.3152	 15.7      -14.2    5.9        -5.1     9.8     -9.1
680	    0.2680	 15.9      -14.3    6.0        -5.1     9.9     -9.2
700	    0.2288	 16.1      -14.4    6.0        -5.1     10.1    -9.3
720	    0.1962	 16.2      -14.6    6.0        -5.1     10.2    -9.5
740	    0.1687	 16.5      -14.7    6.1        -5.1     10.4    -9.6
750	    0.1566	 16.5      -14.8    6.1        -5.1     10.4    -9.7
760	    0.1455	 16.6      -14.9    6.1        -5.2     10.5    -9.7
780	    0.1260	 16.6      -15.0    6.1        -5.2     10.5    -9.8
800	    0.1095	 16.7      -15.0    6.1        -5.2     10.6    -9.8
820	    0.09547  16.9      -15.0    6.2        -5.2     10.7    -9.8
840	    0.08346  17.0      -15.1    6.2        -5.2     10.8    -9.9
850	    0.07811  17.1      -15.2    6.2        -5.3     10.9    -9.9
860	    0.07321  17.1      -15.3    6.2        -5.3     10.9    -10.0
880	    0.06443  17.3      -15.4    6.3        -5.3     11.0    -10.1
900	    0.05684  17.4      -15.5    6.3        -5.3     11.1    -10.2
920	    0.05030  17.5      -15.7    6.3        -5.3     11.2    -10.4
940	    0.04463  17.8      -16.0    6.4        -5.4     11.4    -10.6
950	    0.04206  17.9      -16.1    6.4        -5.4     11.5    -10.7
960	    0.03969  18.0      -16.2    6.4        -5.4     11.6    -10.8
980	    0.03539  18.3      -16.4    6.5        -5.4     11.8    -11.0
1000    0.03163  18.6      -16.7    6.5        -5.4     12.1    -11.3
