   Wtype     ROC HalfROC     Seq  ROCpin  SiCell  TrLink  TrCell      iu      iv   trace       t
    ML-R       0       0      24      23     190       1       1      13      14    0.00       2
    ML-R       0       0      25      24     192       1       1      13      15    0.00       1
    ML-R       0       0      26      25     178       1       1      12      14    0.00       1
    ML-R       0       0      27      26     179       1       1      12      15    0.00       1
    ML-R       0       0      28      27     208      -1      -1      15      11    0.00       1
    ML-R       0       0      29      28     165       1       2      11      14    0.00       1
    ML-R       0       0      30      29     148       1       2      10      14    0.00       1
    ML-R       0       0      31      30     150       1       2      10      15    0.00       1
    ML-R       0       0      32      31     166       1       2      11      15    0.00       1
    ML-R       0       0      33      32     163       1       3      11      13    0.00       2
    ML-R       0       0      34      33     147       1       3      10      13    0.00       1
    ML-R       0       0      35      34     162       1       3      11      12    0.00       1
    ML-R       0       0      36      35     146       1       3      10      12    0.00       1
    ML-R       0       1       0      36     143       2       0      10       9    0.00       1
    ML-R       0       1       1      37     112       2       0       8       9    0.00       1
    ML-R       0       1       2      38     128       2       0       9       9    0.00       1
    ML-R       0       1       3      39     111       2       0       8       8    0.00       1
    ML-R       0       1       4      40      94       2       1       7       7    0.00       1
    ML-R       0       1       5      41      62       2       1       5       6    0.00       1
    ML-R       0       1       6      42      95       2       1       7       8    0.00       1
    ML-R       0       1       7      43      78       2       1       6       7    0.00       1
    ML-R       0       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-R       0       1       9      45     129       2       2       9      10    0.00       1
    ML-R       0       1      10      46     114       2       2       8      11    0.00       1
    ML-R       0       1      11      47     113       2       2       8      10    0.00       1
    ML-R       0       1      12      48     130       2       2       9      11    0.00       1
    ML-R       0       1      13      49      96       2       3       7       9    0.00       1
    ML-R       0       1      14      50      79       2       3       6       8    0.00       1
    ML-R       0       1      15      51      80       2       3       6       9    0.00       1
    ML-R       0       1      16      52      97       2       3       7      10    0.00       1
    ML-R       0       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-R       0       1      18  CALIB1     149      -1      -1      10      14    0.00       0
    ML-R       0       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-R       0       1      20      55      98       3       0       7      11    0.00       2
    ML-R       0       1      21      56      81       3       0       6      10    0.00       1
    ML-R       0       1      22      57     100       3       0       7      12    0.00       1
    ML-R       0       1      23      58      82       3       0       6      11    0.00       1
    ML-R       0       1      24      59     131       3       1       9      12    0.00       2
    ML-R       0       1      25      60     133       3       1       9      13    0.00       1
    ML-R       0       1      26      61     116       3       1       8      13    0.00       1
    ML-R       0       1      27      62     115       3       1       8      12    0.00       1
    ML-R       0       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-R       0       1      29      64      83       3       2       6      12    0.00       1
    ML-R       0       1      30      65      84       3       2       6      13    0.00       1
    ML-R       0       1      31      66     101       3       2       7      13    0.00       1
    ML-R       0       1      32      67     102       3       2       7      14    0.00       1
    ML-R       0       1      33      68     117       3       3       8      14    0.00       1
    ML-R       0       1      34      69     134       3       3       9      14    0.00       1
    ML-R       0       1      35      70     135       3       3       9      15    0.00       1
    ML-R       0       1      36      71     118       3       3       8      15    0.00       1
    ML-R       1       0       0       0      25       0       0       2       5    0.00       1
    ML-R       1       0       1       1      37       0       0       3       6    0.00       1
    ML-R       1       0       2       2      15       0       0       1       4    0.00       1
    ML-R       1       0       3       3      36       0       0       3       5    0.00       1
    ML-R       1       0       4       4       5       0       1       0       4    0.00       1
    ML-R       1       0       5       5      17       0       1       1       6    0.00       1
    ML-R       1       0       6       6       6       0       1       0       5    0.00       1
    ML-R       1       0       7       7      16       0       1       1       5    0.00       1
    ML-R       1       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-R       1       0       9       9      38       0       2       3       7    0.00       1
    ML-R       1       0      10      10      26       0       2       2       6    0.00       1
    ML-R       1       0      11      11      27       0       2       2       7    0.00       1
    ML-R       1       0      12      12      39       0       2       3       8    0.00       1
    ML-R       1       0      13      13      50       0       3       4       7    0.00       1
    ML-R       1       0      14      14      49       0       3       4       6    0.00       1
    ML-R       1       0      15      15      64       0       3       5       8    0.00       1
    ML-R       1       0      16      16      63       0       3       5       7    0.00       1
    ML-R       1       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-R       1       0      18  CALIB0      65      -1      -1       5       8    0.00       0
    ML-R       1       0      19      18     127      -1      -1       9       8    0.00       1
    ML-R       1       0      20      19      51       1       0       4       8    0.00       1
    ML-R       1       0      21      20      66       1       0       5       9    0.00       1
    ML-R       1       0      22      21      52       1       0       4       9    0.00       1
    ML-R       1       0      23      22      67       1       0       5      10    0.00       2
    ML-R       1       0      24      23      70       1       1       5      12    0.00       1
    ML-R       1       0      25      24      69       1       1       5      11    0.00       1
    ML-R       1       0      26      25      54       1       1       4      11    0.00       1
    ML-R       1       0      27      26      53       1       1       4      10    0.00       1
    ML-R       1       0      28      27     158      -1      -1      11       9    0.00       1
    ML-R       1       0      29      28      28       1       2       2       8    0.00       1
    ML-R       1       0      30      29      40       1       2       3       9    0.00       2
    ML-R       1       0      31      30      29       1       2       2       9    0.00       1
    ML-R       1       0      32      31      42       1       2       3      10    0.00       1
    ML-R       1       0      33      32       8       1       3       0       7    0.00       1
    ML-R       1       0      34      33      19       1       3       1       8    0.00       1
    ML-R       1       0      35      34       7       1       3       0       6    0.00       1
    ML-R       1       0      36      35      18       1       3       1       7    0.00       1
    ML-5       0       0       0       0      75       0       0       6       4    0.00       1
    ML-5       0       0       1       1      76       0       0       6       5    0.00       1
    ML-5       0       0       2       2      89       0       0       7       4    0.00       1
    ML-5       0       0       3       3      91       0       0       7       5    0.00       1
    ML-5       0       0       4       4      93       0       1       7       7    0.00       2
    ML-5       0       0       5       5      78       0       1       6       7    0.00       1
    ML-5       0       0       6       6      77       0       1       6       6    0.00       1
    ML-5       0       0       7       7      92       0       1       7       6    0.00       1
    ML-5       0       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       0       9       9      48       0       2       4       5    0.00       1
    ML-5       0       0      10      10      60       0       2       5       5    0.00       1
    ML-5       0       0      11      11      47       0       2       4       4    0.00       1
    ML-5       0       0      12      12      59       0       2       5       4    0.00       1
    ML-5       0       0      13      13      61       0       3       5       6    0.00       2
    ML-5       0       0      14      14      63       0       3       5       7    0.00       1
    ML-5       0       0      15      15      49       0       3       4       6    0.00       1
    ML-5       0       0      16      16      50       0       3       4       7    0.00       1
    ML-5       0       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       0      18  CALIB0      90      -1      -1       7       4    0.00       0
    ML-5       0       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       0      20      19      18       1       0       1       7    0.00       1
    ML-5       0       0      21      20      17       1       0       1       6    0.00       1
    ML-5       0       0      22      21       8       1       0       0       7    0.00       1
    ML-5       0       0      23      22       7       1       0       0       6    0.00       1
    ML-5       0       0      24      23      27       1       1       2       7    0.00       1
    ML-5       0       0      25      24      26       1       1       2       6    0.00       1
    ML-5       0       0      26      25      38       1       1       3       7    0.00       1
    ML-5       0       0      27      26      37       1       1       3       6    0.00       1
    ML-5       0       0      28      27      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       0      29      28      34       1       2       3       4    0.00       1
    ML-5       0       0      30      29      35       1       2       3       5    0.00       2
    ML-5       0       0      31      30      24       1       2       2       4    0.00       1
    ML-5       0       0      32      31      25       1       2       2       5    0.00       1
    ML-5       0       0      33      32      16       1       3       1       5    0.00       1
    ML-5       0       0      34      33      14       1       3       1       4    0.00       2
    ML-5       0       0      35      34       6       1       3       0       5    0.00       1
    ML-5       0       0      36      35       5       1       3       0       4    0.00       1
    ML-5       0       1       0      36      74       2       0       6       3    0.00       1
    ML-5       0       1       1      37      87       2       0       7       2    0.00       1
    ML-5       0       1       2      38      88       2       0       7       3    0.00       1
    ML-5       0       1       3      39      73       2       0       6       2    0.00       1
    ML-5       0       1       4      40      85       2       1       7       0    0.00       1
    ML-5       0       1       5      41      71       2       1       6       0    0.00       1
    ML-5       0       1       6      42      86       2       1       7       1    0.00       1
    ML-5       0       1       7      43      72       2       1       6       1    0.00       1
    ML-5       0       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       1       9      45      57       2       2       5       2    0.00       1
    ML-5       0       1      10      46      58       2       2       5       3    0.00       1
    ML-5       0       1      11      47      46       2       2       4       3    0.00       1
    ML-5       0       1      12      48      45       2       2       4       2    0.00       1
    ML-5       0       1      13      49      43       2       3       4       0    0.00       1
    ML-5       0       1      14      50      56       2       3       5       1    0.00       1
    ML-5       0       1      15      51      55       2       3       5       0    0.00       1
    ML-5       0       1      16      52      44       2       3       4       1    0.00       1
    ML-5       0       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       1      18  CALIB1      13      -1      -1       1       3    0.00       0
    ML-5       0       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       1      20      55       1       3       0       0       0    0.00       1
    ML-5       0       1      21      56       2       3       0       0       1    0.00       1
    ML-5       0       1      22      57       9       3       0       1       0    0.00       1
    ML-5       0       1      23      58      10       3       0       1       1    0.00       1
    ML-5       0       1      24      59      11       3       1       1       2    0.00       1
    ML-5       0       1      25      60       4       3       1       0       3    0.00       1
    ML-5       0       1      26      61       3       3       1       0       2    0.00       1
    ML-5       0       1      27      62      12       3       1       1       3    0.00       1
    ML-5       0       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-5       0       1      29      64      31       3       2       3       1    0.00       1
    ML-5       0       1      30      65      21       3       2       2       1    0.00       1
    ML-5       0       1      31      66      20       3       2       2       0    0.00       1
    ML-5       0       1      32      67      30       3       2       3       0    0.00       1
    ML-5       0       1      33      68      32       3       3       3       2    0.00       1
    ML-5       0       1      34      69      33       3       3       3       3    0.00       1
    ML-5       0       1      35      70      22       3       3       2       2    0.00       1
    ML-5       0       1      36      71      23       3       3       2       3    0.00       1
    ML-5       1       0       0       0     129       0       0       9      10    0.00       1
    ML-5       1       0       1       1     128       0       0       9       9    0.00       1
    ML-5       1       0       2       2     112       0       0       8       9    0.00       1
    ML-5       1       0       3       3     111       0       0       8       8    0.00       1
    ML-5       1       0       4       4     201       0       1      14      14    0.00       1
    ML-5       1       0       5       5     177       0       1      12      13    0.00       1
    ML-5       1       0       6       6     189       0       1      13      13    0.00       1
    ML-5       1       0       7       7     176       0       1      12      12    0.00       1
    ML-5       1       0       8       8     190      -1      -1      13      14    0.00       1
    ML-5       1       0       9       9     145       0       2      10      11    0.00       1
    ML-5       1       0      10      10     162       0       2      11      12    0.00       1
    ML-5       1       0      11      11     161       0       2      11      11    0.00       1
    ML-5       1       0      12      12     144       0       2      10      10    0.00       1
    ML-5       1       0      13      13     146       0       3      10      12    0.00       1
    ML-5       1       0      14      14     114       0       3       8      11    0.00       1
    ML-5       1       0      15      15     130       0       3       9      11    0.00       1
    ML-5       1       0      16      16     113       0       3       8      10    0.00       1
    ML-5       1       0      17      17     131      -1      -1       9      12    0.00       1
    ML-5       1       0      18  CALIB0      65      -1      -1       5       8    0.00       0
    ML-5       1       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       0      20      19      95       1       0       7       8    0.00       1
    ML-5       1       0      21      20      79       1       0       6       8    0.00       1
    ML-5       1       0      22      21      64       1       0       5       8    0.00       1
    ML-5       1       0      23      22      96       1       0       7       9    0.00       1
    ML-5       1       0      24      23      19       1       1       1       8    0.00       1
    ML-5       1       0      25      24      39       1       1       3       8    0.00       1
    ML-5       1       0      26      25      40       1       1       3       9    0.00       1
    ML-5       1       0      27      26      28       1       1       2       8    0.00       1
    ML-5       1       0      28      27     163      -1      -1      11      13    0.00       1
    ML-5       1       0      29      28      67       1       2       5      10    0.00       1
    ML-5       1       0      30      29      52       1       2       4       9    0.00       1
    ML-5       1       0      31      30      66       1       2       5       9    0.00       1
    ML-5       1       0      32      31      51       1       2       4       8    0.00       1
    ML-5       1       0      33      32      80       1       3       6       9    0.00       1
    ML-5       1       0      34      33      98       1       3       7      11    0.00       1
    ML-5       1       0      35      34      97       1       3       7      10    0.00       1
    ML-5       1       0      36      35      81       1       3       6      10    0.00       1
    ML-5       1       1       0      36      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       1      37      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       2      38      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       3      39      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       4      40      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       5      41      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       6      42      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       7      43      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1       9      45      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      10      46      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      11      47      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      12      48      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      13      49      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      14      50      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      15      51      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      16      52      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      18  CALIB1      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      20      55      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      21      56      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      22      57      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      23      58      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      24      59      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      25      60      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      26      61      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      27      62      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      29      64      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      30      65      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      31      66      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      32      67      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      33      68      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      34      69      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      35      70      -1      -1      -1      -1      -1    0.00      -1
    ML-5       1       1      36      71      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       0       0       0     121       0       0       9       3    0.00       1
    ML-5       2       0       1       1     105       0       0       8       2    0.00       1
    ML-5       2       0       2       2     122       0       0       9       4    0.00       1
    ML-5       2       0       3       3     106       0       0       8       3    0.00       1
    ML-5       2       0       4       4     103       0       1       8       0    0.00       1
    ML-5       2       0       5       5     104       0       1       8       1    0.00       1
    ML-5       2       0       6       6     120       0       1       9       2    0.00       1
    ML-5       2       0       7       7     119       0       1       9       1    0.00       1
    ML-5       2       0       8       8      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       0       9       9     137       0       2      10       3    0.00       1
    ML-5       2       0      10      10     151       0       2      11       3    0.00       1
    ML-5       2       0      11      11     136       0       2      10       2    0.00       1
    ML-5       2       0      12      12     152       0       2      11       4    0.00       1
    ML-5       2       0      13      13     138       0       3      10       4    0.00       1
    ML-5       2       0      14      14     139       0       3      10       5    0.00       1
    ML-5       2       0      15      15     153       0       3      11       5    0.00       1
    ML-5       2       0      16      16     154       0       3      11       6    0.00       1
    ML-5       2       0      17      17      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       0      18  CALIB0     169      -1      -1      12       5    0.00       0
    ML-5       2       0      19      18      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       0      20      19     180       1       0      13       5    0.00       1
    ML-5       2       0      21      20     168       1       0      12       5    0.00       1
    ML-5       2       0      22      21     167       1       0      12       4    0.00       1
    ML-5       2       0      23      22     181       1       0      13       6    0.00       1
    ML-5       2       0      24      23     193       1       1      14       6    0.00       1
    ML-5       2       0      25      24     203       1       1      15       7    0.00       1
    ML-5       2       0      26      25     204       1       1      15       8    0.00       1
    ML-5       2       0      27      26     194       1       1      14       7    0.00       1
    ML-5       2       0      28      27      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       0      29      28     195       1       2      14       8    0.00       1
    ML-5       2       0      30      29     206       1       2      15      10    0.00       1
    ML-5       2       0      31      30     205       1       2      15       9    0.00       1
    ML-5       2       0      32      31     196       1       2      14       9    0.00       1
    ML-5       2       0      33      32     182       1       3      13       7    0.00       1
    ML-5       2       0      34      33     170       1       3      12       6    0.00       1
    ML-5       2       0      35      34     171       1       3      12       7    0.00       1
    ML-5       2       0      36      35     183       1       3      13       8    0.00       1
    ML-5       2       1       0      36     124       2       0       9       6    0.00       1
    ML-5       2       1       1      37     108       2       0       8       5    0.00       1
    ML-5       2       1       2      38     123       2       0       9       5    0.00       1
    ML-5       2       1       3      39     107       2       0       8       4    0.00       1
    ML-5       2       1       4      40     125       2       1       9       7    0.00       1
    ML-5       2       1       5      41     126       2       1       9       8    0.00       2
    ML-5       2       1       6      42     109       2       1       8       6    0.00       1
    ML-5       2       1       7      43     110       2       1       8       7    0.00       1
    ML-5       2       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       1       9      45     159       2       2      11      10    0.00       1
    ML-5       2       1      10      46     143       2       2      10       9    0.00       1
    ML-5       2       1      11      47     142       2       2      10       8    0.00       1
    ML-5       2       1      12      48     157       2       2      11       9    0.00       2
    ML-5       2       1      13      49     156       2       3      11       8    0.00       1
    ML-5       2       1      14      50     140       2       3      10       6    0.00       1
    ML-5       2       1      15      51     141       2       3      10       7    0.00       1
    ML-5       2       1      16      52     155       2       3      11       7    0.00       1
    ML-5       2       1      17      53     212      -1      -1      15      15    0.00       1
    ML-5       2       1      18  CALIB1     160      -1      -1      11      10    0.00       0
    ML-5       2       1      19      54      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       1      20      55     175       3       0      12      11    0.00       1
    ML-5       2       1      21      56     188       3       0      13      12    0.00       1
    ML-5       2       1      22      57     174       3       0      12      10    0.00       1
    ML-5       2       1      23      58     187       3       0      13      11    0.00       1
    ML-5       2       1      24      59     173       3       1      12       9    0.00       1
    ML-5       2       1      25      60     172       3       1      12       8    0.00       1
    ML-5       2       1      26      61     185       3       1      13      10    0.00       2
    ML-5       2       1      27      62     184       3       1      13       9    0.00       1
    ML-5       2       1      28      63      -1      -1      -1      -1      -1    0.00      -1
    ML-5       2       1      29      64     199       3       2      14      12    0.00       1
    ML-5       2       1      30      65     211       3       2      15      14    0.00       1
    ML-5       2       1      31      66     200       3       2      14      13    0.00       1
    ML-5       2       1      32      67     210       3       2      15      13    0.00       1
    ML-5       2       1      33      68     209       3       3      15      12    0.00       1
    ML-5       2       1      34      69     197       3       3      14      10    0.00       1
    ML-5       2       1      35      70     198       3       3      14      11    0.00       1
    ML-5       2       1      36      71     207       3       3      15      11    0.00       2
    MH-B       0       0       0       0     298       0       0      14      19    0.00       1
    MH-B       0       0       1       1     273       0       0      13      18    0.00       1
    MH-B       0       0       2       2     344       0       0      16      20    0.00       1
    MH-B       0       0       3       3     363       0       0      17      20    0.00       1
    MH-B       0       0       4       4     321       0       0      15      20    0.00       1
    MH-B       0       0       5       5     319       0       0      15      18    0.00       1
    MH-B       0       0       6       6     343       0       0      16      19    0.00       1
    MH-B       0       0       7       7     297       0       0      14      18    0.00       1
    MH-B       0       0       8       8     320       0       0      15      19    0.00       1
    MH-B       0       0       9       9     342       0       2      16      18    0.00       1
    MH-B       0       0      10      10     361       0       2      17      18    0.00       1
    MH-B       0       0      11      11     380       0       2      18      18    0.00       2
    MH-B       0       0      12      12     382       0       2      18      19    0.00       1
    MH-B       0       0      13      13     362       0       2      17      19    0.00       1
    MH-B       0       0      14      14     400       0       2      19      19    0.00       1
    MH-B       0       0      15      15     401       0       2      19      20    0.00       1
    MH-B       0       0      16      16     419       0       2      20      20    0.00       1
    MH-B       0       0      17      17     383       0       2      18      20    0.00       1
    MH-B       0       0      18  CALIB0     385      -1      -1      18      21    0.00       0
    MH-B       0       0      19      18     468       0       1      23      23    0.00       1
    MH-B       0       0      20      19     437       0       1      21      21    0.00       1
    MH-B       0       0      21      20     402       0       1      19      21    0.00       1
    MH-B       0       0      22      21     454       0       1      22      22    0.00       1
    MH-B       0       0      23      22     439       0       1      21      23    0.00       1
    MH-B       0       0      24      23     438       0       1      21      22    0.00       1
    MH-B       0       0      25      24     455       0       1      22      23    0.00       1
    MH-B       0       0      26      25     421       0       1      20      22    0.00       1
    MH-B       0       0      27      26     420       0       1      20      21    0.00       1
    MH-B       0       0      28      27     386       0       3      18      22    0.00       1
    MH-B       0       0      29      28     384       0       3      18      21    0.00       1
    MH-B       0       0      30      29     345       0       3      16      21    0.00       1
    MH-B       0       0      31      30     422       0       3      20      23    0.00       1
    MH-B       0       0      32      31     387       0       3      18      23    0.00       1
    MH-B       0       0      33      32     403       0       3      19      22    0.00       1
    MH-B       0       0      34      33     365       0       3      17      22    0.00       1
    MH-B       0       0      35      34     404       0       3      19      23    0.00       1
    MH-B       0       0      36      35     364       0       3      17      21    0.00       1
    MH-B       0       1       0      36     248       2       0      12      17    0.00       1
    MH-B       0       1       1      37     200       2       0      10      17    0.00       1
    MH-B       0       1       2      38     249       2       0      12      18    0.00       1
    MH-B       0       1       3      39     199       2       0      10      16    0.00       1
    MH-B       0       1       4      40     198       2       0      10      15    0.00       1
    MH-B       0       1       5      41     201       2       0      10      18    0.00       1
    MH-B       0       1       6      42     222       2       0      11      16    0.00       1
    MH-B       0       1       7      43     224       2       0      11      18    0.00       1
    MH-B       0       1       8      44     223       2       0      11      17    0.00       1
    MH-B       0       1       9      45     254       2       2      12      22    0.00       1
    MH-B       0       1      10      46     227       2       2      11      21    0.00       1
    MH-B       0       1      11      47     252       2       2      12      21    0.00       1
    MH-B       0       1      12      48     204       2       2      10      21    0.00       1
    MH-B       0       1      13      49     255       2       2      12      23    0.00       1
    MH-B       0       1      14      50     228       2       2      11      22    0.00       1
    MH-B       0       1      15      51     278       2       2      13      23    0.00       1
    MH-B       0       1      16      52     302       2       2      14      23    0.00       1
    MH-B       0       1      17      53     277       2       2      13      22    0.00       1
    MH-B       0       1      18  CALIB1     253      -1      -1      12      21    0.00       0
    MH-B       0       1      19      54     251       2       1      12      20    0.00       1
    MH-B       0       1      20      55     275       2       1      13      20    0.00       1
    MH-B       0       1      21      56     274       2       1      13      19    0.00       1
    MH-B       0       1      22      57     299       2       1      14      20    0.00       1
    MH-B       0       1      23      58     225       2       1      11      19    0.00       1
    MH-B       0       1      24      59     250       2       1      12      19    0.00       1
    MH-B       0       1      25      60     202       2       1      10      19    0.00       1
    MH-B       0       1      26      61     226       2       1      11      20    0.00       1
    MH-B       0       1      27      62     203       2       1      10      20    0.00       1
    MH-B       0       1      28      63     366       2       3      17      23    0.00       1
    MH-B       0       1      29      64     276       2       3      13      21    0.00       1
    MH-B       0       1      30      65     300       2       3      14      21    0.00       1
    MH-B       0       1      31      66     301       2       3      14      22    0.00       1
    MH-B       0       1      32      67     346       2       3      16      22    0.00       1
    MH-B       0       1      33      68     324       2       3      15      23    0.00       1
    MH-B       0       1      34      69     322       2       3      15      21    0.00       1
    MH-B       0       1      35      70     323       2       3      15      22    0.00       1
    MH-B       0       1      36      71     347       2       3      16      23    0.00       1
    MH-B       1       0       0       0     315       0       0      15      14    0.00       1
    MH-B       1       0       1       1     313       0       0      15      12    0.00       1
    MH-B       1       0       2       2     336       0       0      16      13    0.00       1
    MH-B       1       0       3       3     314       0       0      15      13    0.00       1
    MH-B       1       0       4       4     337       0       0      16      14    0.00       1
    MH-B       1       0       5       5     358       0       0      17      15    0.00       1
    MH-B       1       0       6       6     359       0       0      17      16    0.00       1
    MH-B       1       0       7       7     357       0       0      17      14    0.00       1
    MH-B       1       0       8       8     338       0       0      16      15    0.00       1
    MH-B       1       0       9       9     340       0       2      16      17    0.00       2
    MH-B       1       0      10      10     270       0       2      13      15    0.00       1
    MH-B       1       0      11      11     293       0       2      14      15    0.00       1
    MH-B       1       0      12      12     339       0       2      16      16    0.00       1
    MH-B       1       0      13      13     318       0       2      15      17    0.00       1
    MH-B       1       0      14      14     316       0       2      15      15    0.00       1
    MH-B       1       0      15      15     317       0       2      15      16    0.00       1
    MH-B       1       0      16      16     360       0       2      17      17    0.00       1
    MH-B       1       0      17      17     294       0       2      14      16    0.00       2
    MH-B       1       0      18  CALIB0     221      -1      -1      11      15    0.00       0
    MH-B       1       0      19      18     272       0       1      13      17    0.00       1
    MH-B       1       0      20      19     196       0       1      10      14    0.00       2
    MH-B       1       0      21      20     296       0       1      14      17    0.00       1
    MH-B       1       0      22      21     220       0       1      11      15    0.00       1
    MH-B       1       0      23      22     247       0       1      12      16    0.00       1
    MH-B       1       0      24      23     195       0       1      10      13    0.00       1
    MH-B       1       0      25      24     271       0       1      13      16    0.00       1
    MH-B       1       0      26      25     219       0       1      11      14    0.00       1
    MH-B       1       0      27      26     245       0       1      12      15    0.00       2
    MH-B       1       0      28      27     244       0       3      12      14    0.00       1
    MH-B       1       0      29      28     194       0       3      10      12    0.00       1
    MH-B       1       0      30      29     268       0       3      13      13    0.00       1
    MH-B       1       0      31      30     217       0       3      11      12    0.00       1
    MH-B       1       0      32      31     292       0       3      14      14    0.00       1
    MH-B       1       0      33      32     218       0       3      11      13    0.00       1
    MH-B       1       0      34      33     242       0       3      12      12    0.00       1
    MH-B       1       0      35      34     243       0       3      12      13    0.00       1
    MH-B       1       0      36      35     269       0       3      13      14    0.00       1
    MH-B       1       1       0      36      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       1      37      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       2      38      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       3      39      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       4      40      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       5      41      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       6      42      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       7      43      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       8      44      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1       9      45      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      10      46      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      11      47      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      12      48      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      13      49      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      14      50      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      15      51      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      16      52      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      17      53      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      18  CALIB1      -1      -1      -1      -1      -1    0.00      -1
    MH-B       1       1      19      54     241       2       1      12      11    0.00       1
    MH-B       1       1      20      55     289       2       1      14      11    0.00       1
    MH-B       1       1      21      56     239       2       1      12       9    0.00       1
    MH-B       1       1      22      57     265       2       1      13      10    0.00       1
    MH-B       1       1      23      58     266       2       1      13      11    0.00       1
    MH-B       1       1      24      59     240       2       1      12      10    0.00       1
    MH-B       1       1      25      60     267       2       1      13      12    0.00       1
